Time,Target Position,Current Position
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=742878054)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=774323892)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=806327457)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=838335022)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=870123806)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=902124591)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=934092626)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=966182670)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=998149932)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=30391533)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=62308611)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=94207945)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=126804119)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=159063085)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=190960735)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=222383253)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=254295876)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=286667606)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=318300373)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=350274503)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=382259032)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=414270651)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=446291712)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=478254885)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=510353614)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=542391258)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=574545880)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=606440470)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=638789776)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=670659227)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=702765902)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=734536181)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=766403716)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=798518737)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=830261447)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=862505768)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=894619679)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=926334296)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=958172694)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662797, nanosec=990069530)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=22408930)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=54323381)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=86319026)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=118582326)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=150583249)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=182329568)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=214307765)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=246259979)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=278213442)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=310168501)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=342225976)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=374227579)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=406175429)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=438184144)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=470408516)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=502386163)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=534287666)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=566388103)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=598402419)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=630360958)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=662706798)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=694829416)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=726812442)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=758390443)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=790312350)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=822242448)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=854371269)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=886405761)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=918462469)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=950404742)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662798, nanosec=982373724)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=14228514)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=46134030)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=78375878)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=110408065)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=142366603)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=174416865)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=206384238)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=238333562)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=270710399)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=302385642)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=334252542)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=365566202)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=397555944)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=429512696)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=461573769)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=493547625)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=525976649)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=557823544)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=589806621)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=621849070)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=653816148)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=685495654)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=717557602)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=749374676)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=781631279)",2000.0,3001
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=813550276)",2000.0,3002
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=829233376)",2000.0,3593
"builtin_interfaces.msg.Time(sec=1702662799, nanosec=845497504)",2000.0,2981
